Parcela;Cota;Ecosistema;Orientacion;Microestacion;Tratamiento;Cobertura_arborea;Fecha_instalación;Fecha_recogida;Dias_campo;Muestra;Superficie_lámina (cm2);Absorb_NH4;ppm N-NH4;µg resina-1 NH4;µg cm-2 NH4;NH4;Absorb_NO3;ppm N-NO3;µg resina-1 NO3;µg cm-2 NO3;NO3;Absorb_PO4;ppm N-PO4;µg resina-1 PO4;µg cm-2 PO4;PO4
Camarate;1700;Robledal;Norte;5;Control;0.435913851;10/04/2024;05/06/2024;56;2;10;0.23;1.053622081;52.68110404;5.268110404;0.0940734;1.163;6.862722874;343.1361437;35.52133993;0.634309642;2.36;9.08929775;454.4648875;47.04605461;0.840108118
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;1;11.22;0.252;1.1885726;59.42862998;5.296669339;0.094583381;1.684;10.10776381;505.3881905;60.16526077;1.074379657;1.95;5.449715487;272.4857743;32.43878266;0.579263976
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;2;11;0.23;1.049469757;52.47348786;4.770317078;0.085184234;2.08;12.57112982;628.5564909;59.86252294;1.068973624;2.37;9.208530584;460.4265292;43.85014564;0.783038315
Camarate;1700;Robledal;Norte;6;Refugio;0.356924881;10/04/2024;05/06/2024;56;3;8.4;0.211;0.931128533;46.55642665;5.542431744;0.098971995;1.559;9.331279287;466.5639643;47.41503703;0.84669709;1.77;3.777474988;188.8737494;19.19448673;0.342758692
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;1;10.78;0.22;0.989261064;49.46305321;4.588409389;0.081935882;1.325;7.871737522;393.5868761;46.85558049;0.836706794;2.37;9.148914167;457.4457084;54.45782242;0.972461115
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;2;10.5;0.233;1.068155214;53.40776068;5.086453398;0.090829525;1.072;6.292816452;314.6408226;32.57151373;0.581634174;1.56;1.959174266;97.95871332;10.14065355;0.181083099
Camarate;1700;Robledal;Norte;66;Refugio;0.583936825;10/04/2024;05/06/2024;56;3;11.5;0.24;1.111754612;55.5877306;4.833715705;0.086316352;1.209;7.146118963;357.3059482;39.61263283;0.707368444;2.16;7.318690163;365.9345081;40.56923594;0.724450642
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;1;10.5;0.308;1.539443948;76.97219742;7.330685469;0.130905098;0.765;4.383785652;219.1892826;27.39866033;0.489261792;2.55;10.82115467;541.0577333;67.63221667;1.207718155
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;2;11;0.244;1.138744716;56.93723579;5.176112345;0.092430578;2.143;12.96663865;648.3319323;85.3068332;1.523336307;2.14;7.110032703;355.5016351;46.77653094;0.835295195
Camarate;1700;Robledal;Norte;67;Control;0.468103477;10/04/2024;05/06/2024;56;3;9.24;0.195;0.833548927;41.67744636;4.510546143;0.080545467;1.807;10.87386752;543.6933762;63.14673359;1.127620243;2.38;9.277089464;463.8544732;53.87392256;0.962034331
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;1;6.4;0.209;0.918671562;45.93357811;7.177121579;0.135417388;1.597;9.56277133;478.1385665;68.01402084;1.283283412;1.46;1.017234876;50.86174382;7.234956447;0.136508612
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;2;8.19;0.187;0.785797205;39.28986026;4.797296735;0.090515033;1.937;11.68357064;584.1785319;78.94304485;1.489491412;1.5;1.374933379;68.74666895;9.290090398;0.175284725
Camarate;1900;Serbal-Aceral;Norte;14;Refugio;0.940318352;15/04/2024;07/06/2024;53;3;7;0.263;1.25708594;62.854297;8.979185285;0.16941859;1.565;9.366574038;468.3287019;70.31962491;1.326785376;1.46;1.053004727;52.65023633;7.905440891;0.149159262
Camarate;1900;Serbal-Aceral;Norte;17;Control;0.050402304;15/04/2024;07/06/2024;53;1;7.41;2.271;13.76388479;688.1942394;92.87371652;1.752334274;2.405;14.59642568;729.821284;89.00259562;1.679294257;1.45;0.972522564;48.62612818;5.930015632;0.111887087
Camarate;1900;Serbal-Aceral;Norte;17;Control;0.050402304;15/04/2024;07/06/2024;53;2;7.56;0.333;1.693079924;84.65399619;11.19761854;0.211275822;1.061;6.227417355;311.3708677;46.75238254;0.882120425;1.47;1.145410173;57.27050866;8.599175474;0.162248594
Camarate;1900;Serbal-Aceral;Norte;17;Control;0.050402304;15/04/2024;07/06/2024;53;3;7.8;0.447;2.405203431;120.2601715;15.41797071;0.290905108;1.695;10.17835331;508.9176656;59.31441324;1.119139872;1.41;0.617804882;30.8902441;3.60026155;0.067929463
Camarate;1900;Serbal-Aceral;Norte;18;Refugio;0.782481673;15/04/2024;07/06/2024;53;1;7.41;0.168;0.665379819;33.26899096;4.48974237;0.08471212;2.057;12.43098889;621.5494447;75.89126309;1.431910624;1.49;1.291470395;64.57351975;7.884434646;0.148762918
Camarate;1900;Serbal-Aceral;Norte;18;Refugio;0.782481673;15/04/2024;07/06/2024;53;2;7.41;0.163;0.634237392;31.71186959;4.279604533;0.080747255;2.046;12.35936131;617.9680656;81.31158758;1.534180898;1.43;0.799634954;39.9817477;5.260756277;0.099259552
Camarate;1900;Serbal-Aceral;Norte;18;Refugio;0.782481673;15/04/2024;07/06/2024;53;3;8;0.15;0.555343242;27.76716212;3.470895264;0.06548859;2.126;12.85764015;642.8820075;80.56165508;1.520031228;1.39;0.43597481;21.79874049;2.731671741;0.051540976
Camarate;1900;Serbal-Aceral;Norte;19;Control;0.136283987;15/04/2024;07/06/2024;53;1;7.6;0.17;0.675760628;33.78803142;4.445793607;0.083882898;1.098;6.457871318;322.8935659;44.72210054;0.843813218;1.42;0.677421299;33.87106495;4.691283234;0.088514778
Camarate;1900;Serbal-Aceral;Norte;19;Control;0.136283987;15/04/2024;07/06/2024;53;2;9.02;0.156;0.588146599;29.40732996;3.260236137;0.061513889;1.487;8.88075217;444.0376085;50.63142628;0.95530993;1.39;0.450878914;22.5439457;2.570575337;0.048501421
Camarate;1900;Serbal-Aceral;Norte;19;Control;0.136283987;15/04/2024;07/06/2024;53;3;7.77;0.172;0.688217599;34.41087996;4.42868468;0.083560088;1.872;11.28079524;564.0397621;65.28237988;1.231743017;1.37;0.266068021;13.30340106;1.539745493;0.029051802
Camarate;1900;Serbal-Aceral;Norte;20;Control;0.010985592;15/04/2024;07/06/2024;53;1;6.6;0.213;0.947737828;47.38689138;7.179832028;0.135468529;1.503;8.978850816;448.9425408;62.18040732;1.173215232;1.33;-0.115477048;-5.773852413;-0.79970255;-0.015088727
Camarate;1900;Serbal-Aceral;Norte;20;Control;0.010985592;15/04/2024;07/06/2024;53;2;8.58;0.237;1.097221479;54.86107396;6.394064564;0.120642728;1.461;8.716735386;435.8367693;47.16848152;0.88997135;1.41;0.61184324;30.59216201;3.310840044;0.06246868
Camarate;1900;Serbal-Aceral;Norte;20;Control;0.010985592;15/04/2024;07/06/2024;53;3;9.02;0.234;1.075214164;53.76070819;5.960167206;0.112455985;1.024;5.999039554;299.9519777;37.87272446;0.714579707;1.48;1.202045769;60.10228847;7.588672787;0.143182505
Camarate;1900;Serbal-Aceral;Norte;21;Refugio;0.958735779;15/04/2024;07/06/2024;53;1;8;0.194;0.827320442;41.36602209;5.170752761;0.097561373;1.724;10.35690323;517.8451615;73.66218513;1.38985255;1.43;0.737037716;36.85188581;5.242089019;0.09890734
Camarate;1900;Serbal-Aceral;Norte;21;Refugio;0.958735779;15/04/2024;07/06/2024;53;2;7;0.228;1.039088948;51.9544474;7.422063915;0.140038942;1.248;7.39214414;369.607207;51.3343343;0.968572345;1.38;0.313761155;15.68805774;2.178896908;0.041111262
Camarate;1900;Serbal-Aceral;Norte;21;Refugio;0.958735779;15/04/2024;07/06/2024;53;3;8.19;0.173;0.694446085;34.72230424;4.239597587;0.079992407;1.495;8.932137175;446.6068588;48.54422378;0.915928751;1.39;0.453859735;22.69298675;2.466628994;0.04654017
Camarate;2200;Enebral;Norte;22;Control;0;15/04/2024;05/06/2024;51;1;9.2;0.148;0.538733948;26.93669738;2.92790189;0.057409841;1.978;11.9358243;596.791215;72.86828021;1.428789808;1.73;3.471642768;173.5821384;21.19440029;0.415576476
Camarate;2200;Enebral;Norte;22;Control;0;15/04/2024;05/06/2024;51;2;7.2;0.17;0.67783679;33.89183951;4.707199931;0.092298038;0.808;4.648496285;232.4248143;29.12591657;0.571096403;1.55;1.863787999;93.18939995;11.67786967;0.228977837
Camarate;2200;Enebral;Norte;22;Control;0;15/04/2024;05/06/2024;51;3;7.38;0.146;0.526276977;26.31384884;3.565562173;0.069912984;0.715;4.069247135;203.4623568;27.6819533;0.542783398;1.64;2.629858959;131.4929479;17.890197;0.350788176
Camarate;2200;Enebral;Norte;23;Refugio;0;15/04/2024;05/06/2024;51;1;7.79;0.158;0.605171126;30.25855631;3.884281939;0.076162391;0.869;5.02947198;251.473599;32.240205;0.632160882;1.74;3.524105215;176.2052608;22.59041805;0.442949373
Camarate;2200;Enebral;Norte;23;Refugio;0;15/04/2024;05/06/2024;51;2;8;0.165;0.648770525;32.43852623;4.054815778;0.079506192;0.741;4.236378162;211.8189081;25.21653668;0.494441896;1.59;2.221486502;111.0743251;13.22313394;0.259277136
Camarate;2200;Enebral;Norte;23;Refugio;0;15/04/2024;05/06/2024;51;3;8;0.165;0.646694363;32.33471814;4.041839767;0.07925176;0.542;2.994833389;149.7416695;22.48373416;0.440857533;1.73;3.494297006;174.7148503;26.23346101;0.514381588
Camarate;2200;Enebral;Norte;24;Control;0;15/04/2024;05/06/2024;51;1;9.02;0.189;0.798254176;39.91270881;4.424912284;0.086762986;1.049;6.152675529;307.6337764;38.55059855;0.755894089;1.9;4.993649896;249.6824948;31.28853318;0.613500651
Camarate;2200;Enebral;Norte;24;Control;0;15/04/2024;05/06/2024;51;2;10.26;0.118;0.356031707;17.80158534;1.735047305;0.034020535;0.65;3.66543366;183.271683;18.23598836;0.357568399;2.25;8.156300823;407.8150411;40.57861106;0.79565904
Camarate;2200;Enebral;Norte;24;Control;0;15/04/2024;05/06/2024;51;3;7.41;0.181;0.744273969;37.21369843;5.022091556;0.098472383;0.768;4.402471108;220.1235554;33.10128653;0.649044834;2.4;9.482766103;474.1383052;71.29899326;1.398019476
Camarate;2200;Enebral;Norte;25;Refugio;0;15/04/2024;05/06/2024;51;1;7.79;0.164;0.642542039;32.12710195;4.124146592;0.080865619;0.764;4.377557167;218.8778583;27.42830305;0.537809864;1.83;4.331907667;216.5953833;27.14227861;0.532201541
Camarate;2200;Enebral;Norte;25;Refugio;0;15/04/2024;05/06/2024;51;2;8.36;0.197;0.843929736;42.19648682;5.047426653;0.09896915;0.719;4.094161077;204.7080539;25.58850673;0.501735426;2.35;9.008815587;450.4407794;56.30509742;1.104021518
Camarate;2200;Enebral;Norte;25;Refugio;0;15/04/2024;05/06/2024;51;3;8.4;0.158;0.603094964;30.15474822;3.589850978;0.070389235;0.68;3.854364386;192.7182193;27.64967278;0.542150447;2.07;6.484060323;324.2030162;46.51406258;0.912040443
