Parcela;Cota;Ecosistema;Orientacion;Fecha_siembra;Fecha_revision;Microestacion;Protector;Tratamiento;Cobertura_arborea;Vivo;Muerto
Camarate;2200;Piornal;Norte;20230621;20240605;26;3;Control;0;;
Camarate;1900;Robledal;Norte;20230630;20240607;20;1;Control;0.010985592;;
Camarate;1900;Robledal;Norte;20230630;20240607;20;2;Control;0.010985592;;
Camarate;1900;Robledal;Norte;20230630;20240607;20;3;Control;0.010985592;;
Camarate;1900;Robledal;Norte;20230630;20240607;17;1;Control;0.050402304;;
Camarate;1900;Robledal;Norte;20230630;20240607;17;2;Control;0.050402304;;
Camarate;1900;Robledal;Norte;20230630;20240607;17;3;Control;0.050402304;;
Camarate;1900;Robledal;Norte;20230630;20240607;21;1;Refugio;0.958735779;;
Camarate;1900;Robledal;Norte;20230630;20240607;21;2;Refugio;0.958735779;;
Camarate;1900;Robledal;Norte;20230630;20240607;21;3;Refugio;0.958735779;;
Camarate;1900;Robledal;Norte;20230630;20240607;14;1;Refugio;0.940318352;;
Camarate;1900;Robledal;Norte;20230630;20240607;14;2;Refugio;0.940318352;;
Camarate;1900;Robledal;Norte;20230630;20240607;14;3;Refugio;0.940318352;;
Camarate;1900;Robledal;Norte;20230630;20240607;19;1;Control;0.136283987;;
Camarate;1900;Robledal;Norte;20230630;20240607;19;2;Control;0.136283987;;
Camarate;1900;Robledal;Norte;20230630;20240607;19;3;Control;0.136283987;;
Camarate;1900;Robledal;Norte;20230630;20240607;18;1;Refugio;0.782481673;;
Camarate;1900;Robledal;Norte;20230630;20240607;18;2;Refugio;0.782481673;;
Camarate;1900;Robledal;Norte;20230630;20240607;18;3;Refugio;0.782481673;;
Camarate;1500;Encinar;Norte;20230622;20240607;40;1;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240607;40;2;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240607;40;3;Refugio;0.359531075;;
Camarate;1500;Encinar;Norte;20230622;20240607;41;1;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240607;41;2;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240607;41;3;Control;0.059943538;;
Camarate;1500;Encinar;Norte;20230622;20240607;43;1;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240607;43;2;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240607;43;3;Control;0.20510848;;
Camarate;1500;Encinar;Norte;20230622;20240607;42;1;Refugio;0.629552111;;
Camarate;1500;Encinar;Norte;20230622;20240607;42;2;Refugio;0.629552111;;
Camarate;1500;Encinar;Norte;20230622;20240607;42;3;Refugio;0.629552111;;
Camarate;1500;Encinar;Norte;20230622;20240607;44;1;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240607;44;2;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240607;44;3;Control;0.10444143;;
Camarate;1500;Encinar;Norte;20230622;20240607;45;1;Refugio;0.554234881;;
Camarate;1500;Encinar;Norte;20230622;20240607;45;2;Refugio;0.554234881;;
Camarate;1500;Encinar;Norte;20230622;20240607;45;3;Refugio;0.554234881;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;29;1;Control;0.489934459;2;
Hortichuela;1300;Robledal;Norte;20230620;20240611;29;2;Control;0.489934459;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;29;3;Control;0.489934459;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;33;1;Control;0.264723466;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;33;2;Control;0.264723466;1;
Hortichuela;1300;Robledal;Norte;20230620;20240611;33;3;Control;0.264723466;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;30;1;Refugio;0.790612937;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;30;2;Refugio;0.790612937;1;
Hortichuela;1300;Robledal;Norte;20230620;20240611;30;3;Refugio;0.790612937;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;32;1;Refugio;0.673286027;3;
Hortichuela;1300;Robledal;Norte;20230620;20240611;32;2;Refugio;0.673286027;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;32;3;Refugio;0.673286027;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;31;1;Control;0.051828675;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;31;2;Control;0.051828675;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;31;3;Control;0.051828675;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;65;1;Refugio;0.664800287;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;65;2;Refugio;0.664800287;;
Hortichuela;1300;Robledal;Norte;20230620;20240611;65;3;Refugio;0.664800287;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;1;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;2;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;3;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;1;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;2;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;46;3;Control;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;1;Refugio;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;2;Refugio;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;3;Refugio;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;1;Refugio;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;2;Refugio;0;;
SanJuan;2300;Enebral;Norte;20230419;20240611;47;3;Refugio;0;;
Canar;1800;Robledal;Sur;20230606;20240624;50;1;Refugio;0.76124272;;
Canar;1800;Robledal;Sur;20230606;20240624;50;2;Refugio;0.76124272;;
Canar;1800;Robledal;Sur;20230606;20240624;50;3;Refugio;0.76124272;;
