Specie,SLA,SDM,H,Leaf_N,DispMode,PollMode,LifeForm,Ciclo,Strata
Crucianella_angustifolia,22.1,0.5,0.3,NA,Autochory,Zoophily,therophyte,Anual,Her
Crupina_vulgaris,24,0.874,0.4,2.3,Anemochory,Zoophily,therophyte,Anual,Her
Cuscuta_epithymum_kotschyi,NA,0.35,0.5,NA,Epizoochory,Autogamy,therophyte,Anual,Her
Cynosurus_echinatus,35.6,1.46,0.4,2.4,Anemochory,Anemophily,therophyte,Anual,Her
Cytisus_galianoi,NA,8,2,2.7,NA,NA,chamaephyte,Perenne,Mat
Cytisus_grandiflorus,NA,7.4,2,2.92,Autochory,Zoophily,phanerophyte,Perenne,Her
Dactylis_glomerata_juncinella,25.7,0.64,0.48,2.66,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Dianthus_brachyanthus,21.74,1,0.18,2.03,Hidrochory,Zoophily,chamaephyte,Perenne,Mat
Dianthus_lusitanus,7.33,0.5,0.1,2.58,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Dorycnium_pentaphyllum,15.5,3.23,0.5,2.1,Herpochory,Zoophily,chamaephyte,Perenne,Mat
Erinacea_anthyllis,11.44,3.52,0.3,NA,Autochory,NA,chamaephyte,Perenne,Mat
Erinacea_cytisus,11,3,2,NA,Autochory,NA,NA,Perenne,Her
Eryngium_bourgatii,73.07,3.11,0.3,1.03,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Erysimum_cf,15,0.4,0.4,3.7,Hidrochory,Zoophily,hemicryptophyte,NA,Her
Euphorbia_segetalis,26.3,2.4,0.47,3.5,Herpochory,Zoophily,therophyte,Anual,Her
Festuca_cf,24.9,0.45,0.21,1.95,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Festuca_filiformis,15.9,0.36,0.35,0.7,Epizoochory,Anemophily,hemicryptophyte,Perenne,Her
Festuca_hystrix,24.9,0.45,0.21,1.95,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Festuca_scariosa,19.4,0.91,0.12,1.22,Epizoochory,Anemophily,hemicryptophyte,Perenne,Her
Filago_cf,40,0.02,0.05,1.52,Anemochory,Autogamy,therophyte,Anual,Her
Filago_micropodioides,40,0.02,0.05,1.52,Anemochory,Autogamy,therophyte,Anual,Her
Fumaria_capreolata,31,4.1,1,4,Herpochory,Zoophily,therophyte,Anual,Her
Galium_cf,22.6,0.73,1,2.1,Anemochory,Zoophily,NA,Anual,Her
Genista_longipes_longipes,16.2,3.4,1,3.3,Autochory,Zoophily,chamaephyte,Perenne,Mat
Genista_versicolor,18.34,6.55,0.4,2.46,Autochory,Zoophily,chamaephyte,Anual,Mat
Geranium_cf,44.7,1.87,0.4,2.72,Epizoochory,Zoophily,NA,Perenne,Her
Geranium_cf2,16.6,2.8,0.4,3.04,Autochory,Zoophily,chamaephyte,Perenne,Her
Geranium_molle,16.6,2.8,0.4,3.04,Autochory,Zoophily,chamaephyte,Perenne,Her
Helianthemum_apenninum,13.4,1.1,0.45,2.2,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Helianthemum_appeninum_stoechadifolium,13.4,1.1,0.45,2.2,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Helianthemum_cf,16.8,0.54,0.5,1.6,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Helianthemum_nummularium,16.8,0.54,0.5,1.6,Endozoochory,Zoophily,chamaephyte,Perenne,Mat
Helichrysum_serotinum_serotinum,28.9,0.06,0.14,1.3,Anemochory,Zoophily,chamaephyte,Perenne,Mat
Helictochloa_levis,13.54,0.59,1.2,NA,Epizoochory,NA,hemicryptophyte,Perenne,Her
Helictotrichon_sarracenorum,22.37,2,0.4,2,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Herniaria_cf,31.26,0.06,0.04,1.62,Anemochory,Autogamy,NA,NA,Her
Hieracium_amplexicaule,27.82,0.5,0.3,1,Herpochory,Zoophily,hemicryptophyte,Perenne,Her
Hormathophylla_cf,46.8,1.24,0.15,NA,Anemochory,NA,chamaephyte,Perenne,Mat
Hormatophylla_spinosa,44.7,NA,0.23,NA,NA,NA,chamaephyte,Perenne,Mat
Hypericum_cf,24.3,0.08,NA,1.9,Anemochory,Zoophily,hemicryptophyte,NA,Her
Hypochaeris_glabra,25.6,0.7,0.19,1.5,Endozoochory,Zoophily,therophyte,Anual,Her
Jasione_montana_gracilis,23,0.022,0.1,3.1,Hidrochory,Zoophily,therophyte,Anual,Her
Juniperus_communis,6.5,10,6,1.4,Endozoochory,Anemophily,phanerophyte,Perenne,Arb
Juniperus_communis_hemisphaerica,6.5,10,6,1.4,Endozoochory,Anemophily,phanerophyte,Perenne,Arb
Jurinea_falsa,15.65,5.3,0.6,1.8,Epizoochory,Zoophily,NA,Perenne,Her
Jurinea_humilis,12.9,4.7,0.4,1.9,Autochory,Zoophily,NA,Perenne,Her
Koeleria_vallesiana,12.54,0.35,0.3,2,Endozoochory,Anemophily,hemicryptophyte,Perenne,Her
Lactuca_cf,25,0.41,0.4,2.26,Anemochory,Autogamy,NA,Anual,Her
Lactuca_virosa_livida,25,0.9,1,2.2,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Lamium_amplexicaule,29.7,0.71,0.3,2.96,Hidrochory,Zoophily,therophyte,Anual,Her
Lathyrus_cf,32.45,18,0.3,4.1,Autochory,Zoophily,NA,NA,Her
Lavandula_stoechas,9,0.7,0.63,1.57,Hidrochory,Zoophily,chamaephyte,Perenne,Mat
Linaria_aeruginea_nevadensis,24,0.08,0.02,2.38,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Linum_catharticum,21.4,0.28,0.19,2.3,Anemochory,Zoophily,therophyte,Anual,Her
Linum_strictum,21.4,0.28,0.19,2.3,Anemochory,Zoophily,therophyte,Anual,Her
Logfia_minima,32.9,0.02,0.2,NA,Hidrochory,Autogamy,therophyte,Anual,Her
Lolium_perenne,22,1.79,0.34,2,Autochory,Anemophily,hemicryptophyte,Perenne,Her
Lysimachia_ephemerum,33,0.4,0.1,1.9,Autochory,Zoophily,geophyte,Perenne,Her
Macrochloa_tenacissima,1.7,3.7,1,1.13,NA,NA,chamaephyte,Perenne,Mat
Mantisalca_salmantica,10.73,1.77,0.6,NA,Anemochory,NA,hemicryptophyte,Perenne,Her
Marrubium_supinum,11.7,1.3,0.4,NA,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Muscari_comosum,25.72,5.68,0.6,1.45,Epizoochory,Zoophily,geophyte,Perenne,Her
Muscari_matritensis,26,3,0.3,1.02,Autochory,Zoophily,geophyte,Anual,Her
Myosotis_cf,36,0.3,0.32,2.18,Epizoochory,Zoophily,therophyte,NA,Her
Ononis_cfinosa,21.7,2.26,0.6,3.9,Autochory,Zoophily,chamaephyte,Perenne,Mat
Ononis_spinosa_australis,21.7,2.26,0.6,3.9,Autochory,Zoophily,chamaephyte,Perenne,Mat
Orchis_mascula,19.1,9.00E-04,0.2,2,Anemochory,Zoophily,geophyte,Perenne,Her
Papaver_dubium,18.4,0.07,0.9,2.3,Anemochory,Zoophily,therophyte,Anual,Her
Paronychia_argentea,16.1,0.62,0.3,2.8,Anemochory,Anemophily,therophyte,Anual,Her
Paronychia_sufruticosa_sufruticosa,7,0.05,0.25,2,Epizoochory,Zoophily,chamaephyte,Perenne,Mat
Petrorhagia_grande,14,0.33,0.2,2,Endozoochory,Autogamy,therophyte,Anual,Her
Petrorhagia_larga,13,0.27,0.5,2.3,Endozoochory,Autogamy,therophyte,Anual,Her
Petrorhagia_nanteuilii,12.9,0.26,0.53,1.9,Anemochory,Autogamy,therophyte,Anual,Her
Petrosedum_cf,3.5,0.05,0.2,0.5,Anemochory,Zoophily,NA,Perenne,Her
Phalaris_cf,23.4,1.3,0.9,3.18,Endozoochory,Anemophily,NA,Perenne,Her
Picnomon_acarna,NA,7.9,NA,NA,Anemochory,NA,therophyte,Anual,Her
Pilosella_pseudopilosella,19.1,0.2,0.7,1.26,Anemochory,Zoophily,hemicryptophyte,Perenne,Her
Plantago_holosteum,11,0.6,0.2,NA,Anemochory,Zoophily,chamaephyte,Perenne,Mat
Poa_annua,2.28,0.22,0.18,1,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Poa_bulbosa,9.1,0.9,0.4,1.41,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Poa_cf,2.28,0.22,0.18,1,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Poa_nemoralis,32,0.14,0.7,1.7,Autochory,Anemophily,hemicryptophyte,Perenne,Her
Poa_pratensis,24.7,0.3,0.4,1.1,Autochory,Anemophily,hemicryptophyte,Perenne,Her
Potentilla_cf,15,0.44,0.03,3,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Potentilla_hirta,15,0.44,0.03,3,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Quercus_ilex,4.9,2197,16,1.4,Autochory,Anemophily,phanerophyte,Perenne,Tre
Quercus_pyrenaica,8.2,5128,7.3,2.7,Autochory,Anemophily,phanerophyte,Perenne,Tre
Ranunculus_cf,10,0.74,0.1,1.77,Anemochory,Zoophily,NA,Perenne,Her
Retama_cfhaerocarpa,20.1,74.9,1.7,2.6,Autochory,NA,phanerophyte,Anual,Arb
Rhagadiolus_edulis,NA,5.5,0.15,NA,Anemochory,NA,therophyte,Anual,Her
Rhagadiolus_stellatus,NA,2.69,0.4,NA,Endozoochory,Anemophily,therophyte,Anual,Her
Rosa_villosa,14.6,12.9,2,2.25,Endozoochory,Zoophily,phanerophyte,Perenne,Arb
Rubia_peregrina,14,17,1.2,1.3,Endozoochory,Zoophily,phanerophyte,Perenne,Arb
Rumex_angiocarpus,12.8,0.36,0.17,3.62,Anemochory,Anemophily,hemicryptophyte,Perenne,Her
Ruta_montana,12,1.11,0.4,2.6,Autochory,Zoophily,chamaephyte,Perenne,Mat
Sanguisorba_minor_minor,15.9,4.91,0.5,1.4,Hidrochory,Anemophily,hemicryptophyte,Perenne,Her
Sanguisorba_verrucosa,15.92,7,0.39,1.9,Autochory,Zoophily,hemicryptophyte,Perenne,Her
Santolina_canescens,5.8,0.32,0.5,5.09,Anemochory,Zoophily,chamaephyte,Perenne,Mat
